Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,684.412,14.721,18.308,EVOLVING
2,684.412,14.721,18.308,EVOLVING
3,684.412,14.721,18.308,EVOLVING
4,684.412,684.412,684.412,EVOLVING
5,684.412,684.412,684.412,EVOLVING
6,684.412,684.412,684.412,EVOLVING
7,684.412,684.412,684.412,EVOLVING
8,684.412,684.412,684.412,EVOLVING
9,684.412,684.412,684.412,EVOLVING
10,684.412,684.412,684.412,EVOLVING
11,684.412,684.412,684.412,EVOLVING
12,684.412,684.412,684.412,EVOLVING
13,684.412,684.412,684.412,EVOLVING
14,684.412,684.412,684.412,EVOLVING
15,684.412,684.412,684.412,EVOLVING
16,684.412,684.412,684.412,EVOLVING
17,684.412,684.412,684.412,EVOLVING
18,684.412,684.412,684.412,EVOLVING
19,684.412,684.412,684.412,EVOLVING
20,684.412,684.412,684.412,EVOLVING
21,684.412,684.412,684.412,EVOLVING
22,684.412,684.412,684.412,EVOLVING
23,684.412,684.412,684.412,EVOLVING
24,684.412,684.412,684.412,EVOLVING
25,684.412,684.412,684.412,EVOLVING
26,684.412,684.412,684.412,EVOLVING
27,684.412,684.412,684.412,EVOLVING
28,684.412,684.412,684.412,EVOLVING
29,684.412,684.412,684.412,EVOLVING
30,684.412,684.412,684.412,EVOLVING
